,fatia,persistencia,sazonal_naive_288,media_movel_288,lstnet_s42,lstnet_s7,lstnet_s123,lstnet_s2024,lstnet_s999,lstnet_media,lstnet_dp
2024-09-22,2024-09-15→2024-09-24,0.11512500000000002,0.09269626322751323,0.08834635416666664,0.07349277385012815,0.07680520480587369,0.07887994644755408,0.07882156272350797,0.07326242832048441,0.07625238322950965,0.0027552521534911123
2024-09-23,2024-09-15→2024-09-24,0.2074270833333335,0.06465360488277153,0.09305290316358018,0.08416130324204764,0.08336003133442328,0.08519315266948821,0.08202315415072647,0.08067056859694317,0.08308164199872575,0.0017773096106510787
2024-09-24,2024-09-15→2024-09-24,0.08856481481481476,0.05303413600288603,0.07757335413910933,0.051428553966618114,0.0522810267569527,0.05843241683831292,0.056413270037640996,0.05483600217009351,0.05467825395392365,0.0028912001190846076
2024-11-20,2024-11-20→2024-11-24,0.06796874999999991,0.0156388888888889,0.038732638888888865,0.016693990892834146,0.015376989664854842,0.017838368195074575,0.016930617712162147,0.01784088660169531,0.016936170613324204,0.0010151599107934054
2024-11-21,2024-11-20→2024-11-24,0.06913194444444394,0.02071296296296297,0.04141927083333335,0.021047187580002666,0.01688517728116775,0.022565735141436213,0.02234583417574563,0.021499109135733704,0.020868608662817194,0.0023108213014422572
2024-11-22,2024-11-20→2024-11-24,0.0534895833333332,0.01915162037037034,0.03843050733024688,0.02135593367947473,0.015716855989562115,0.02270208530955845,0.020619650240297677,0.019267037113507593,0.019932312466480112,0.0026638053973461356
2024-11-23,2024-11-20→2024-11-24,0.07138888888888885,0.02711689814814809,0.04786566840277769,0.02564122444170491,0.027288825776841864,0.02524068522011788,0.02606204164028163,0.025998206708166285,0.026046196757422514,0.0007680384753174939
2024-11-24,2024-11-20→2024-11-24,0.07807291666666677,0.023946759259259237,0.049323881172839465,0.017123746275901734,0.015911634895536597,0.018282949792014152,0.018214910317350248,0.017659700733643938,0.01743858840288933,0.0009740668754854159
2024-12-13,2024-12-13→2024-12-22,0.09239583333333323,0.02753472222222222,0.06314429012345672,0.03953766306241359,0.030188203189108198,0.04210994733704465,0.04515338838100439,0.042413012319141,0.039880442857742365,0.005771602043056554
2024-12-14,2024-12-13→2024-12-22,0.10295138888888929,0.01930555555555566,0.04542341820987656,0.028161865472793604,0.016614639825291124,0.029316960506969057,0.031141739951239717,0.029587275120947117,0.026964496175448122,0.005882508884258727
2024-12-15,2024-12-13→2024-12-22,0.053402777777777743,0.042534722222222265,0.04908444251543224,0.04107557833194729,0.05467766708797875,0.03947567019197673,0.039190401169988814,0.041571610834863444,0.043198185523351,0.006497098570020058
2024-12-16,2024-12-13→2024-12-22,0.0936805555555553,0.0311111111111112,0.05004822530864201,0.030104926802493895,0.02104872286319734,0.03276106980111863,0.03430566204918754,0.03214305935082609,0.030072688173364698,0.005264619873994189
2024-12-17,2024-12-13→2024-12-22,0.07960069444444423,0.024913194444444463,0.05013551311728399,0.024154640833536824,0.0362312382459641,0.024211138553089602,0.025207710862159765,0.026198635631137453,0.027200672825177553,0.005117194392473976
2024-12-18,2024-12-13→2024-12-22,0.07873263888888918,0.019201388888888917,0.05337348090277783,0.021815225018395352,0.02882416261567013,0.02247560845481028,0.024298419223891397,0.025993181665738458,0.02468131939570112,0.002833302085762826
2024-12-19,2024-12-13→2024-12-22,0.11052083333333329,0.02418402777777781,0.05764178240740741,0.027940428654352818,0.019527734650505918,0.03159217052989535,0.03353904869821335,0.030069184501965843,0.028533713406986655,0.005436562631702064
2024-12-20,2024-12-13→2024-12-22,0.09881944444444445,0.03427083333333338,0.07020447530864203,0.0410126117865245,0.03556883123185902,0.043579541312323715,0.043962123460239866,0.04395078857739771,0.04161477927366896,0.003596642443749226
2024-12-21,2024-12-13→2024-12-22,0.11381944444444464,0.07680555555555554,0.07318865740740778,0.06355040411154432,0.05528040932284463,0.0677855158514447,0.06871710909737486,0.0687345619996389,0.06481360007656949,0.005742843338529752
2024-12-22,2024-12-13→2024-12-22,0.05986111111111086,0.08111111111111104,0.07813271604938207,0.04639084537823991,0.04340238889058428,0.04679187509748669,0.04707142127884756,0.049523312250773076,0.0466359685791863,0.0021832774880970107
