H,data,variavel,piso_MAE,ci_MAE_s42,ci_MAE_s7,ci_MAE_s123,ci_MAE_media,ci_MAE_dp
12,2024-09-24,ph,0.076,0.021,0.0168,0.022,0.0199,0.0028
12,2024-09-24,od,0.1083,0.0505,0.0259,0.024,0.0335,0.0148
12,2024-11-20,ph,0.0179,0.0046,0.005,0.0056,0.0051,0.0005
12,2024-11-20,od,0.1117,0.0199,0.0144,0.0154,0.0166,0.0029
12,2024-12-13,ph,0.0108,0.008,0.0092,0.0085,0.0086,0.0006
12,2024-12-13,od,0.01,0.0127,0.0221,0.0233,0.0193,0.0058
12,2024-12-14,ph,0.045,0.0083,0.0099,0.0072,0.0084,0.0014
12,2024-12-14,od,0.4175,0.0154,0.0124,0.0199,0.0159,0.0038
12,2024-12-15,ph,0.0758,0.0051,0.0054,0.0051,0.0052,0.0002
12,2024-12-15,od,0.3708,0.0222,0.0251,0.0315,0.0263,0.0048
12,2024-12-16,ph,0.0233,0.0101,0.0101,0.0116,0.0106,0.0009
12,2024-12-16,od,0.0825,0.0189,0.027,0.026,0.024,0.0044
12,2024-12-17,ph,0.035,0.0092,0.0101,0.01,0.0098,0.0005
12,2024-12-17,od,0.1758,0.0097,0.025,0.0264,0.0204,0.0092
12,2024-12-18,ph,0.0117,0.0101,0.0097,0.0121,0.0106,0.0013
12,2024-12-18,od,0.1383,0.0124,0.0114,0.0418,0.0219,0.0173
12,2024-12-19,ph,0.0167,0.0203,0.0189,0.0215,0.0203,0.0013
12,2024-12-19,od,0.0333,0.01,0.0152,0.0244,0.0165,0.0073
12,2024-12-20,ph,0.0583,0.0105,0.0157,0.0092,0.0118,0.0034
12,2024-12-20,od,0.5475,0.1012,0.0957,0.065,0.0873,0.0195
12,2024-12-21,ph,0.1217,0.0393,0.0441,0.046,0.0431,0.0035
12,2024-12-21,od,1.1817,0.1145,0.0552,0.1176,0.0957,0.0352
12,2024-12-22,ph,0.0358,0.0307,0.0305,0.0309,0.0307,0.0002
12,2024-12-22,od,0.4825,0.0343,0.0513,0.0297,0.0384,0.0114
72,2022-07-20,ph,0.0296,0.0204,0.0276,0.0198,0.0226,0.0043
72,2022-07-20,od,0.1249,0.0195,0.1502,0.0388,0.0695,0.0706
72,2022-07-21,ph,0.0264,0.0182,0.0202,0.0192,0.0192,0.001
72,2022-07-21,od,0.1108,0.0254,0.1319,0.0285,0.0619,0.0606
72,2022-07-22,ph,0.0196,0.0158,0.0159,0.0164,0.0161,0.0003
72,2022-07-22,od,0.1958,0.0292,0.0374,0.034,0.0335,0.0041
72,2022-07-23,ph,0.0358,0.0247,0.0235,0.0231,0.0238,0.0008
72,2022-07-23,od,0.166,0.0675,0.0733,0.0472,0.0626,0.0137
72,2022-07-24,ph,0.0279,0.0243,0.0252,0.0287,0.0261,0.0023
72,2022-07-24,od,0.0122,0.0868,0.1322,0.1113,0.1101,0.0227
72,2022-07-25,ph,0.0289,0.0178,0.0202,0.0231,0.0204,0.0027
72,2022-07-25,od,0.1643,0.0637,0.0096,0.0195,0.0309,0.0288
72,2022-07-26,ph,0.0237,0.0232,0.0318,0.0293,0.0281,0.0044
72,2022-07-26,od,0.0931,0.022,0.0682,0.0768,0.0557,0.0294
72,2022-07-27,ph,0.0297,0.0227,0.03,0.0227,0.0251,0.0042
72,2022-07-27,od,0.2681,0.0802,0.0557,0.0982,0.078,0.0214
72,2022-07-28,ph,0.436,0.0408,0.0351,0.1045,0.0601,0.0386
72,2022-07-28,od,0.1758,0.1132,0.0443,0.1152,0.0909,0.0404
72,2022-07-29,ph,0.0082,0.0379,0.0125,0.0243,0.0249,0.0127
72,2022-07-29,od,0.1185,0.0771,0.1767,0.0379,0.0972,0.0715
72,2023-01-18,ph,0.0486,0.0249,0.0168,0.0187,0.0201,0.0042
72,2023-01-18,od,0.0438,0.0558,0.0368,0.0452,0.046,0.0095
72,2023-01-19,ph,0.0478,0.0103,0.0068,0.0124,0.0098,0.0028
72,2023-01-19,od,0.0149,0.0288,0.0341,0.0143,0.0257,0.0102
72,2023-01-20,ph,0.0375,0.0056,0.005,0.0088,0.0065,0.0021
72,2023-01-20,od,0.0185,0.0433,0.0457,0.0343,0.0411,0.006
72,2023-01-21,ph,0.0419,0.0103,0.0048,0.0158,0.0103,0.0055
72,2023-01-21,od,0.0162,0.1132,0.132,0.1415,0.1289,0.0144
72,2023-01-22,ph,0.0146,0.0172,0.0113,0.0274,0.0186,0.0081
72,2023-01-22,od,0.0164,0.112,0.1229,0.1152,0.1167,0.0056
72,2023-01-23,ph,0.0236,0.0248,0.0156,0.033,0.0245,0.0087
72,2023-01-23,od,0.0282,0.022,0.0152,0.0077,0.015,0.0071
72,2023-01-24,ph,0.0157,0.0066,0.0122,0.0172,0.012,0.0053
72,2023-01-24,od,0.0417,0.0512,0.0812,0.0828,0.0717,0.0178
72,2023-01-25,ph,0.0131,0.0124,0.0059,0.0212,0.0131,0.0077
72,2023-01-25,od,0.0611,0.1302,0.1431,0.146,0.1397,0.0084
72,2023-01-26,ph,0.0235,0.0043,0.004,0.0105,0.0063,0.0037
72,2023-01-26,od,0.0108,0.1055,0.1317,0.1261,0.1211,0.0138
72,2023-01-27,ph,0.0301,0.0101,0.008,0.0159,0.0113,0.0041
72,2023-01-27,od,0.0211,0.1233,0.1513,0.1438,0.1394,0.0145
72,2024-04-19,ph,0.0346,0.0222,0.0254,0.0192,0.0223,0.0031
72,2024-04-19,od,0.5783,0.2231,0.249,0.1803,0.2175,0.0347
72,2024-04-20,ph,0.0249,0.0098,0.0115,0.0124,0.0112,0.0013
72,2024-04-20,od,0.079,0.1602,0.1122,0.0903,0.1209,0.0358
72,2024-04-21,ph,0.0181,0.027,0.0226,0.0195,0.0231,0.0038
72,2024-04-21,od,0.0781,0.2105,0.1804,0.1374,0.1761,0.0368
72,2024-04-22,ph,0.0197,0.0235,0.0188,0.0129,0.0184,0.0053
72,2024-04-22,od,0.0829,0.1958,0.1329,0.0955,0.1414,0.0507
72,2024-04-23,ph,0.0275,0.0195,0.0193,0.0139,0.0175,0.0032
72,2024-04-23,od,0.0325,0.1862,0.0782,0.0511,0.1052,0.0715
72,2024-04-24,ph,0.0179,0.0187,0.0188,0.0142,0.0172,0.0026
72,2024-04-24,od,0.0167,0.1748,0.0515,0.0314,0.0859,0.0777
72,2024-04-25,ph,0.046,0.0138,0.011,0.0237,0.0161,0.0067
72,2024-04-25,od,0.2807,0.058,0.0158,0.0458,0.0398,0.0217
72,2024-04-26,ph,0.0269,0.0182,0.0122,0.0159,0.0154,0.003
72,2024-04-26,od,0.2318,0.0568,0.0407,0.0344,0.044,0.0116
72,2024-04-27,ph,0.024,0.0142,0.0193,0.013,0.0155,0.0033
72,2024-04-27,od,0.1057,0.0883,0.1153,0.0567,0.0868,0.0293
72,2024-04-28,ph,0.0199,0.0116,0.0189,0.0117,0.0141,0.0042
72,2024-04-28,od,0.0211,0.06,0.0774,0.0168,0.0514,0.0312
72,2024-07-20,ph,0.0385,0.0354,0.0299,0.028,0.0311,0.0038
72,2024-07-20,od,0.4079,0.2237,0.2059,0.2,0.2099,0.0123
72,2024-07-21,ph,0.0386,0.0275,0.0169,0.0218,0.0221,0.0053
72,2024-07-21,od,0.1736,0.1986,0.1911,0.1817,0.1905,0.0085
72,2024-07-22,ph,0.1033,0.0435,0.0417,0.0463,0.0438,0.0023
72,2024-07-22,od,0.2164,0.1336,0.1283,0.1404,0.1341,0.0061
72,2024-07-23,ph,0.0376,0.0142,0.0238,0.0116,0.0165,0.0064
72,2024-07-23,od,0.3035,0.1469,0.1229,0.0744,0.1147,0.037
72,2024-07-24,ph,0.0315,0.0215,0.0165,0.0303,0.0228,0.007
72,2024-07-24,od,0.2108,0.1373,0.1494,0.1933,0.16,0.0295
72,2024-07-25,ph,0.0371,0.034,0.0249,0.0452,0.0347,0.0101
72,2024-07-25,od,0.1565,0.2356,0.2475,0.3023,0.2618,0.0356
72,2024-07-26,ph,0.0185,0.0227,0.0297,0.0197,0.024,0.0051
72,2024-07-26,od,0.221,0.1043,0.1457,0.101,0.117,0.0249
72,2024-07-27,ph,0.0319,0.0333,0.0528,0.0247,0.037,0.0144
72,2024-07-27,od,0.1542,0.1723,0.1815,0.1081,0.154,0.04
72,2024-07-28,ph,0.0347,0.0213,0.0424,0.0201,0.0279,0.0125
72,2024-07-28,od,0.1044,0.1062,0.1899,0.067,0.121,0.0628
72,2024-07-29,ph,0.0164,0.0101,0.0111,0.0141,0.0118,0.0021
72,2024-07-29,od,0.1003,0.102,0.1205,0.0872,0.1032,0.0167
72,2024-09-15,ph,0.122,0.0405,0.0407,0.0524,0.0445,0.0068
72,2024-09-15,od,0.644,0.0546,0.1344,0.1703,0.1198,0.0592
72,2024-09-16,ph,0.0465,0.0402,0.0373,0.0495,0.0423,0.0064
72,2024-09-16,od,0.1636,0.1031,0.1975,0.2471,0.1826,0.0732
72,2024-09-17,ph,0.1377,0.0514,0.0471,0.0413,0.0466,0.0051
72,2024-09-17,od,0.8721,0.1748,0.1253,0.1008,0.1336,0.0377
72,2024-09-18,ph,0.0837,0.0609,0.0631,0.0588,0.0609,0.0022
72,2024-09-18,od,0.1722,0.1713,0.1424,0.1615,0.1584,0.0147
72,2024-09-19,ph,0.0985,0.0417,0.0462,0.0461,0.0447,0.0026
72,2024-09-19,od,0.1917,0.2258,0.2011,0.1686,0.1985,0.0287
72,2024-09-20,ph,0.0521,0.0374,0.0328,0.0415,0.0372,0.0044
72,2024-09-20,od,0.1607,0.0576,0.1085,0.1608,0.109,0.0516
72,2024-09-21,ph,0.0703,0.0592,0.0576,0.0576,0.0581,0.001
72,2024-09-21,od,0.2793,0.0548,0.029,0.0771,0.0536,0.0241
72,2024-09-22,ph,0.1079,0.0522,0.051,0.0509,0.0514,0.0007
72,2024-09-22,od,0.2658,0.0788,0.0535,0.0486,0.0603,0.0162
72,2024-09-23,ph,0.083,0.0877,0.0934,0.1017,0.0943,0.0071
72,2024-09-23,od,0.0512,0.1427,0.0286,0.0468,0.0727,0.0613
72,2024-09-24,ph,0.0628,0.0335,0.0374,0.043,0.038,0.0048
72,2024-09-24,od,0.0828,0.1014,0.0762,0.1431,0.1069,0.0338
72,2024-11-20,ph,0.0186,0.0118,0.0129,0.0122,0.0123,0.0005
72,2024-11-20,od,0.1188,0.0971,0.0702,0.1846,0.1173,0.0598
72,2024-12-13,ph,0.0311,0.0105,0.0191,0.0113,0.0136,0.0047
72,2024-12-13,od,0.1474,0.0746,0.1116,0.0722,0.0861,0.0221
72,2024-12-14,ph,0.0412,0.0127,0.0077,0.0301,0.0168,0.0118
72,2024-12-14,od,0.2881,0.2075,0.176,0.319,0.2342,0.0752
72,2024-12-15,ph,0.0714,0.0139,0.0177,0.0176,0.0164,0.0021
72,2024-12-15,od,0.2217,0.0768,0.1646,0.1207,0.1207,0.0439
72,2024-12-16,ph,0.025,0.0113,0.0105,0.0106,0.0108,0.0004
72,2024-12-16,od,0.1979,0.0248,0.0209,0.0884,0.0447,0.0379
72,2024-12-17,ph,0.0257,0.0096,0.0116,0.0123,0.0112,0.0014
72,2024-12-17,od,0.1207,0.0416,0.096,0.0574,0.065,0.028
72,2024-12-18,ph,0.0269,0.0186,0.0147,0.0147,0.016,0.0023
72,2024-12-18,od,0.2354,0.0318,0.0292,0.1414,0.0674,0.064
72,2024-12-19,ph,0.0293,0.016,0.0185,0.0147,0.0164,0.0019
72,2024-12-19,od,0.0593,0.1342,0.0705,0.2062,0.137,0.0679
72,2024-12-20,ph,0.0367,0.0362,0.0322,0.0329,0.0338,0.0021
72,2024-12-20,od,0.3225,0.1802,0.1325,0.212,0.1749,0.04
72,2024-12-21,ph,0.1517,0.0326,0.0365,0.0421,0.0371,0.0048
72,2024-12-21,od,1.0404,0.3278,0.2411,0.3649,0.3113,0.0635
72,2024-12-22,ph,0.0411,0.0286,0.0378,0.03,0.0321,0.005
72,2024-12-22,od,0.319,0.3479,0.479,0.3201,0.3823,0.0849
288,2022-07-20,ph,0.0227,0.0195,0.019,0.0191,0.0192,0.0003
288,2022-07-20,od,0.0899,0.0968,0.0839,0.0513,0.0774,0.0235
288,2022-07-21,ph,0.0231,0.0192,0.0204,0.0273,0.0223,0.0044
288,2022-07-21,od,0.0594,0.0328,0.0359,0.0718,0.0469,0.0217
288,2022-07-22,ph,0.0252,0.0194,0.0193,0.0196,0.0194,0.0002
288,2022-07-22,od,0.2433,0.1421,0.2028,0.1914,0.1788,0.0323
288,2022-07-23,ph,0.0294,0.0262,0.0271,0.0298,0.0277,0.0019
288,2022-07-23,od,0.1477,0.0976,0.0975,0.0928,0.096,0.0028
288,2022-07-24,ph,0.026,0.0243,0.0234,0.0243,0.024,0.0005
288,2022-07-24,od,0.0566,0.147,0.1271,0.1429,0.139,0.0105
288,2022-07-25,ph,0.029,0.0234,0.0252,0.0248,0.0245,0.0009
288,2022-07-25,od,0.0919,0.21,0.1984,0.1725,0.1936,0.0192
288,2022-07-26,ph,0.0246,0.0196,0.0222,0.0202,0.0206,0.0013
288,2022-07-26,od,0.0973,0.0871,0.0963,0.0502,0.0779,0.0244
288,2022-07-27,ph,0.0297,0.023,0.0248,0.0235,0.0238,0.0009
288,2022-07-27,od,0.1574,0.1138,0.1483,0.0921,0.1181,0.0284
288,2022-07-28,ph,0.2538,0.2645,0.2642,0.2661,0.2649,0.001
288,2022-07-28,od,0.1791,0.0922,0.1084,0.1075,0.1027,0.0091
288,2022-07-29,ph,0.2024,0.1772,0.1721,0.1454,0.1649,0.0171
288,2022-07-29,od,0.2647,0.1814,0.1496,0.0996,0.1435,0.0412
288,2023-01-18,ph,0.0517,0.0239,0.0299,0.0173,0.0237,0.0063
288,2023-01-18,od,0.072,0.0298,0.082,0.0476,0.0531,0.0266
288,2023-01-19,ph,0.0271,0.0184,0.0179,0.0179,0.0181,0.0003
288,2023-01-19,od,0.0347,0.1098,0.0513,0.0785,0.0799,0.0293
288,2023-01-20,ph,0.0475,0.0185,0.0185,0.0218,0.0196,0.0019
288,2023-01-20,od,0.0825,0.0687,0.1059,0.096,0.0902,0.0192
288,2023-01-21,ph,0.038,0.0259,0.0222,0.0167,0.0216,0.0046
288,2023-01-21,od,0.1225,0.1826,0.0942,0.1526,0.1432,0.0449
288,2023-01-22,ph,0.021,0.008,0.0126,0.0133,0.0113,0.0029
288,2023-01-22,od,0.0309,0.0867,0.094,0.0771,0.0859,0.0085
288,2023-01-23,ph,0.0183,0.0178,0.008,0.0073,0.011,0.0058
288,2023-01-23,od,0.0935,0.0654,0.0814,0.0472,0.0647,0.0171
288,2023-01-24,ph,0.0347,0.0421,0.007,0.0096,0.0196,0.0196
288,2023-01-24,od,0.063,0.0718,0.0742,0.0643,0.0701,0.0052
288,2023-01-25,ph,0.0132,0.0286,0.0226,0.0149,0.022,0.0069
288,2023-01-25,od,0.091,0.1363,0.1265,0.127,0.1299,0.0056
