H,fatia,nome,qualitativa,variavel,modelo,seed,MAE,RMSE
72,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,42,0.0717,0.0922
72,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,7,0.0683,0.0914
72,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,123,0.0727,0.0928
288,2024-04-19->2024-04-28,abr24,False,ph,sazonal-naive-288,0,0.0282,0.0361
288,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,42,0.0244,0.0308
288,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,7,0.024,0.0305
288,2024-04-19->2024-04-28,abr24,False,ph,patchtst-CI,123,0.025,0.0316
288,2024-04-19->2024-04-28,abr24,False,od,sazonal-naive-288,0,0.124,0.1822
288,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,42,0.1311,0.1622
288,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,7,0.145,0.1783
288,2024-04-19->2024-04-28,abr24,False,od,patchtst-CI,123,0.1252,0.1536
288,2024-07-20->2024-07-29,jul24,False,ph,sazonal-naive-288,0,0.0391,0.0552
288,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,42,0.0322,0.043
288,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,7,0.0312,0.0419
288,2024-07-20->2024-07-29,jul24,False,ph,patchtst-CI,123,0.0323,0.0427
288,2024-07-20->2024-07-29,jul24,False,od,sazonal-naive-288,0,0.1316,0.172
288,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,42,0.1431,0.179
288,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,7,0.1549,0.1917
288,2024-07-20->2024-07-29,jul24,False,od,patchtst-CI,123,0.1432,0.1797
288,2024-09-15->2024-09-24,set24,False,ph,sazonal-naive-288,0,0.0693,0.0919
288,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,42,0.0613,0.079
288,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,7,0.0586,0.0769
288,2024-09-15->2024-09-24,set24,False,ph,patchtst-CI,123,0.0639,0.0822
288,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1969,0.2737
288,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,42,0.1872,0.2429
288,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,7,0.1871,0.2409
288,2024-09-15->2024-09-24,set24,False,od,patchtst-CI,123,0.1974,0.2534
288,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0176,0.0262
