,fatia,persistencia,sazonal_naive_288,media_movel_288,patchtst_s42,patchtst_s7,patchtst_s123,patchtst_s2024,patchtst_s999,patchtst_media,patchtst_dp,dlinear_s42,dlinear_s7,dlinear_s123,dlinear_s2024,dlinear_s999,dlinear_media,dlinear_dp
2024-09-18,2024-09-15→2024-09-24,0.6659722222222224,0.17649305555555556,0.45321518132716043,0.09666897164450752,0.09967186404599085,0.09406899982028537,0.10726406713326771,0.0960753745502896,0.0987498554388682,0.005165637312076824,0.15072228226396772,0.15014966587225598,0.1469274718893899,0.1558348978890313,0.1544552826219135,0.15161792010731165,0.003563417242654122
2024-09-19,2024-09-15→2024-09-24,0.6171527777777777,0.13652777777777778,0.4227546296296296,0.1598312975300683,0.13836724532975092,0.13240524106555515,0.1451876304546992,0.15276000108983784,0.14571028309398226,0.010958091591282321,0.17201271090242598,0.14131567345725166,0.14585510631402332,0.1397877764701843,0.16688065654701656,0.15317038473818037,0.015133955946676134
2024-09-20,2024-09-15→2024-09-24,0.766770833333333,0.1758680555555555,0.46970341435185176,0.21394020087189144,0.18731668008698354,0.14190957632329726,0.12998462233278485,0.10535500930415258,0.15570121778382193,0.04409537949666998,0.151957307656606,0.20206016514036387,0.18211192448933916,0.16752126620875463,0.2190245532327228,0.18453504334555731,0.026708169004309387
2024-09-21,2024-09-15→2024-09-24,0.8878124999999999,0.26104166666666667,0.5189872685185184,0.28479389508565267,0.2873187395599153,0.30867011507352193,0.27548928055498334,0.29884312874741026,0.29102303180429673,0.01290731204857881,0.17339023073514304,0.20601324896017711,0.2302304141388999,0.2503136365281211,0.23172853681776256,0.21833521343602075,0.029645314692853305
2024-09-22,2024-09-15→2024-09-24,0.5907291666666667,0.25458333333333333,0.4353841145833333,0.22749348402023312,0.24813857952753698,0.22313139862484402,0.20686721060011118,0.1693133254183663,0.21498879963821832,0.029469416817157017,0.2927603227562374,0.2540849291616015,0.2798235245545705,0.27322927938567265,0.23651710139380558,0.2672830314503776,0.022149754853941547
2024-09-23,2024-09-15→2024-09-24,0.7934722222222224,0.13927083333333334,0.5580741222993828,0.2295479095644421,0.2030017673306995,0.22662347051832413,0.23249494665198853,0.24148403326670329,0.22663042546643147,0.014333941542270256,0.23765814986493852,0.22194906930128736,0.23253311302926802,0.24929751839902664,0.26111409094598564,0.24051038830810123,0.015149430401081592
2024-09-24,2024-09-15→2024-09-24,0.7606944444444448,0.06993055555555555,0.5284326774691359,0.06830947657426199,0.07353215707672967,0.18446345229943598,0.12011495696173775,0.1274516844087177,0.11477434546417661,0.04718503684782251,0.07549635132153829,0.08461715499560037,0.07445512884192995,0.0784661555290222,0.10063649753729502,0.08273425764507716,0.010760848630006167
2024-11-20,2024-11-20→2024-11-24,0.779166666666667,0.09854166666666665,0.5189216820987654,0.13297922366195256,0.17142531355222068,0.12192423164844517,0.12687316271993848,0.17224399195777046,0.14508918470806548,0.02472885411381452,0.13205638117260404,0.08747829357782998,0.09132956802844999,0.11531938281324172,0.1056061334080166,0.10635795180002847,0.018190489014106196
2024-11-21,2024-11-20→2024-11-24,0.8096527777777774,0.14069444444444448,0.5383912037037037,0.10606163760026295,0.0857928380039003,0.05932959040006,0.10714212510320874,0.07919261707199941,0.08750376163588629,0.01997402305774822,0.10575266983773973,0.12174016608132258,0.11912218014399212,0.15792954471376208,0.15739397976133562,0.13238770810763043,0.023856176800924275
2024-11-22,2024-11-20→2024-11-24,0.9054166666666666,0.10937499999999997,0.5306655092592593,0.07065918849574195,0.06742458687888246,0.06559961948129867,0.09716308633486434,0.07922476530075075,0.07601424929830762,0.012927724199418945,0.05891342990928228,0.07616500245200264,0.058600786526997885,0.08824925945864785,0.08758500132295823,0.07390269593397777,0.014637058481511282
