,fatia,persistencia,sazonal_naive_288,media_movel_288,patchtst_s42,patchtst_s7,patchtst_s123,patchtst_s2024,patchtst_s999,dlinear_s42,dlinear_s7,dlinear_s123,dlinear_s2024,dlinear_s999,patchtst_media,patchtst_dp,dlinear_media,dlinear_dp
2024-07-20,2024-07-20→2024-07-29,0.04100694444444456,0.022395833333333344,0.02395061728395061,0.01828238030274714,0.01805081188678746,0.01817478464709392,0.016241546935505384,0.023773254354794795,0.017362114919556575,0.016487440466880846,0.01813940293259095,0.0176589285002815,0.017503824234008838,0.01890455562538574,0.002847998805485215,0.017430342210663745,0.0006029380292817595
2024-07-21,2024-07-20→2024-07-29,0.027361111111111096,0.03920138888888896,0.04027054398148169,0.01731101638740971,0.017303956482145597,0.01867497589853082,0.014689677225218942,0.01836658484405949,0.020627375046412225,0.019449547860357557,0.022498953474892565,0.019342698123720026,0.02107810397942867,0.01726924216747291,0.0015682278001690657,0.020599335696962207,0.001298046901630536
2024-07-22,2024-07-20→2024-07-29,0.05263888888888885,0.07333333333333332,0.052889660493827095,0.06593192451530032,0.06922293510701921,0.06473591764767964,0.07057037876711951,0.06642176422807905,0.06353237721655103,0.06361246340804629,0.06391811225149364,0.06427852696842616,0.06497625476784176,0.06737658405303955,0.0024280227569326795,0.06406354692247176,0.0005886469375091003
2024-07-23,2024-07-20→2024-07-29,0.05347222222222234,0.09506944444444433,0.07395833333333364,0.041633098787731505,0.035512797766261546,0.0323770829704072,0.03852272444301173,0.03526986075772171,0.038813862734370694,0.038593196074167814,0.03737078587214145,0.037832561731338435,0.036938524908489576,0.036663112945026735,0.0035282199411101342,0.037909786264101596,0.0007943923628295956
2024-07-24,2024-07-20→2024-07-29,0.033055555555555505,0.018124999999999995,0.03307291666666661,0.026393865545590735,0.03173791819148597,0.025631915595796403,0.025142503248320708,0.02364760802851783,0.042300038536389716,0.04448507878515459,0.04260107245710164,0.043586509426434876,0.0402284587754144,0.02651076212194233,0.003089457084561387,0.042640231596099046,0.0015994386341608902
2024-07-25,2024-07-20→2024-07-29,0.024826388888888825,0.02128472222222215,0.02710262345678991,0.022595724993281906,0.01778707517517937,0.017577874991628793,0.023546112510893093,0.019192089173528878,0.017167383895979965,0.01778596295250786,0.017936636077033122,0.01721830738915336,0.0166388392448425,0.020139775368902407,0.0027672848675152567,0.01734942591190336,0.0005221697855644547
2024-07-26,2024-07-20→2024-07-29,0.03343749999999986,0.03381944444444442,0.03786892361111072,0.015461298028627998,0.017768698732058177,0.019212946626875064,0.01362350953949823,0.01610754542880586,0.018792492681079357,0.01750411139594178,0.0180686837434768,0.01779194798734448,0.017117995487319005,0.01643479967117307,0.002147995589133277,0.017855046259032285,0.0006314323556554019
2024-07-27,2024-07-20→2024-07-29,0.035381944444444424,0.030277777777777785,0.037369550540123586,0.03290612187650463,0.036022151245011166,0.04288542436228852,0.02992178791099119,0.03826621327135292,0.03355786846743684,0.03339839008119364,0.034118519624074244,0.0291933162344826,0.036974762678146304,0.03600033973322969,0.0049764953878867054,0.033448571417066725,0.0027840849524747467
2024-07-28,2024-07-20→2024-07-29,0.045277777777777715,0.036770833333333336,0.01528260030864189,0.04720632645818916,0.047563746770222924,0.051364596353636785,0.04101891246106882,0.045652738412221214,0.04062393592463592,0.0433269850413004,0.04044399824407359,0.038090195059776254,0.04083464072810273,0.046561264091067776,0.003742865155993278,0.04066395099957777,0.0018570867877765942
2024-07-29,2024-07-20→2024-07-29,0.020034722222222218,0.022256944444444468,0.02187114197530858,0.016330923702981753,0.015931291182835906,0.020801582270198394,0.02036012536949581,0.016403242217169857,0.015051829152637046,0.016382261382208926,0.015454153617223104,0.01554736614227295,0.0159021892150243,0.017965432948536343,0.002399379494978988,0.015667559901873265,0.0005012390293846219
