,fatia,persistencia,sazonal_naive_288,media_movel_288,lstnet_mean13,lgbm,dlres_mean,ens
2024-09-17,2024-09-15→2024-09-24,0.4111458659172058,0.4317014217376709,0.4339931607246399,0.14969007670879364,0.29210004210472107,0.43473076820373535,0.22602384738136194
2024-09-18,2024-09-15→2024-09-24,0.6659722924232483,0.17649304866790771,0.45321518182754517,0.19636034965515137,0.09633706510066986,0.14475566148757935,0.18976501250067596
2024-09-19,2024-09-15→2024-09-24,0.6171526312828064,0.13652777671813965,0.4227546155452728,0.11820166558027267,0.13174311816692352,0.16492122411727905,0.1261922841048616
2024-09-20,2024-09-15→2024-09-24,0.7667707800865173,0.17586806416511536,0.46970346570014954,0.2595764696598053,0.1585681438446045,0.19071094691753387,0.2540594020592881
2024-09-21,2024-09-15→2024-09-24,0.8878125548362732,0.26104167103767395,0.5189874172210693,0.27651330828666687,0.22434669733047485,0.2192555069923401,0.27196436366193644
2024-09-22,2024-09-15→2024-09-24,0.5907290577888489,0.25458332896232605,0.4353841245174408,0.14529304206371307,0.11617478728294373,0.24824169278144836,0.1702351313354028
2024-09-23,2024-09-15→2024-09-24,0.7934721112251282,0.1392708271741867,0.5580741763114929,0.1823132187128067,0.10461752861738205,0.22452415525913239,0.20383386666359463
2024-09-24,2024-09-15→2024-09-24,0.7606945633888245,0.06993057578802109,0.5284326672554016,0.06680259108543396,0.14152534306049347,0.06431092321872711,0.053254165159575144
2024-11-20,2024-11-20→2024-11-24,0.7791667580604553,0.09854164719581604,0.5189217329025269,0.0581849031150341,0.1737087219953537,0.06793572008609772,0.045999462795016
2024-11-21,2024-11-20→2024-11-24,0.8096527457237244,0.14069443941116333,0.5383912324905396,0.07844781875610352,0.09903015196323395,0.1349232792854309,0.0717887080525948
2024-11-22,2024-11-20→2024-11-24,0.90541672706604,0.1093749850988388,0.5306655168533325,0.09760364890098572,0.2667040526866913,0.07224608212709427,0.08550366945338918
2024-11-23,2024-11-20→2024-11-24,0.769270658493042,0.27579861879348755,0.6044299602508545,0.17028112709522247,0.5172330141067505,0.24909748136997223,0.18052679126593807
2024-11-24,2024-11-20→2024-11-24,0.8445484638214111,0.1892360895872116,0.5709406137466431,0.1505155861377716,0.4465904235839844,0.022346748039126396,0.09189631735863106
2024-12-13,2024-12-13→2024-12-22,0.9186460971832275,0.11204859614372253,0.5794329643249512,0.05642836540937424,0.12688887119293213,0.1870243400335312,0.09481003853535265
2024-12-14,2024-12-13→2024-12-22,0.9616320133209229,0.10201387852430344,0.4996819496154785,0.09222720563411713,0.1327812671661377,0.12400434911251068,0.099261794434659
