H,data,variavel,piso_MAE,dl_MAE_s42,dl_MAE_s7,dl_MAE_s123,dl_MAE_media,dl_MAE_dp
12,2024-12-18,ph,0.0117,0.0181,0.0116,0.0201,0.0166,0.0044
12,2024-12-18,od,0.1383,0.0603,0.1213,0.1214,0.101,0.0352
12,2024-12-19,ph,0.0167,0.0221,0.0271,0.0268,0.0253,0.0028
12,2024-12-19,od,0.0333,0.0894,0.0687,0.1373,0.0985,0.0352
12,2024-12-20,ph,0.0583,0.0429,0.0343,0.048,0.0417,0.0069
12,2024-12-20,od,0.5475,0.0647,0.2092,0.2321,0.1687,0.0908
12,2024-12-21,ph,0.1217,0.0377,0.0336,0.0418,0.0377,0.0041
12,2024-12-21,od,1.1817,0.1017,0.0654,0.1475,0.1049,0.0411
12,2024-12-22,ph,0.0358,0.0278,0.0327,0.0405,0.0337,0.0064
12,2024-12-22,od,0.4825,0.3253,0.2172,0.0532,0.1986,0.137
72,2022-07-20,ph,0.0296,0.0175,0.0233,0.0226,0.0212,0.0032
72,2022-07-20,od,0.1249,0.1161,0.0271,0.0884,0.0772,0.0456
72,2022-07-21,ph,0.0264,0.022,0.0238,0.0228,0.0228,0.0009
72,2022-07-21,od,0.1108,0.0899,0.0445,0.094,0.0761,0.0275
72,2022-07-22,ph,0.0196,0.025,0.0198,0.0275,0.0241,0.0039
72,2022-07-22,od,0.1958,0.0536,0.0959,0.0668,0.0721,0.0216
72,2022-07-23,ph,0.0358,0.0216,0.0225,0.0228,0.0223,0.0007
72,2022-07-23,od,0.166,0.0914,0.0761,0.0654,0.0776,0.0131
72,2022-07-24,ph,0.0279,0.0274,0.0228,0.0256,0.0253,0.0024
72,2022-07-24,od,0.0122,0.0647,0.0894,0.0669,0.0737,0.0137
72,2022-07-25,ph,0.0289,0.0217,0.0206,0.0229,0.0218,0.0012
72,2022-07-25,od,0.1643,0.1354,0.0468,0.0735,0.0852,0.0454
72,2022-07-26,ph,0.0237,0.0221,0.0273,0.0234,0.0243,0.0027
72,2022-07-26,od,0.0931,0.1259,0.036,0.0269,0.0629,0.0547
72,2022-07-27,ph,0.0297,0.0279,0.0213,0.0227,0.024,0.0035
72,2022-07-27,od,0.2681,0.1593,0.0587,0.0301,0.0827,0.0679
72,2022-07-28,ph,0.436,0.029,0.031,0.0311,0.0304,0.0012
72,2022-07-28,od,0.1758,0.067,0.0358,0.0372,0.0467,0.0176
72,2022-07-29,ph,0.0082,0.0338,0.0235,0.0562,0.0378,0.0167
72,2022-07-29,od,0.1185,0.1069,0.0733,0.1147,0.0983,0.022
72,2023-01-18,ph,0.0486,0.0188,0.0181,0.0202,0.019,0.0011
72,2023-01-18,od,0.0438,0.0944,0.0775,0.0818,0.0846,0.0088
72,2023-01-19,ph,0.0478,0.012,0.0141,0.0147,0.0136,0.0014
72,2023-01-19,od,0.0149,0.037,0.0582,0.0341,0.0431,0.0132
72,2023-01-20,ph,0.0375,0.0074,0.0089,0.0092,0.0085,0.001
72,2023-01-20,od,0.0185,0.0471,0.0743,0.0476,0.0563,0.0156
