H,data,variavel,piso_MAE,cd_MAE_s42,cd_MAE_s7,cd_MAE_s123,cd_MAE_media,cd_MAE_dp
72,2024-07-23,od,0.3035,0.1292,0.1602,0.1984,0.1626,0.0347
72,2024-07-24,ph,0.0315,0.0381,0.0332,0.035,0.0354,0.0025
72,2024-07-24,od,0.2108,0.2142,0.1892,0.1513,0.1849,0.0317
72,2024-07-25,ph,0.0371,0.0517,0.0452,0.0586,0.0518,0.0067
72,2024-07-25,od,0.1565,0.2902,0.2799,0.2391,0.2698,0.027
72,2024-07-26,ph,0.0185,0.0161,0.0211,0.0192,0.0188,0.0025
72,2024-07-26,od,0.221,0.092,0.0977,0.0853,0.0917,0.0062
72,2024-07-27,ph,0.0319,0.037,0.0322,0.0194,0.0295,0.0091
72,2024-07-27,od,0.1542,0.1362,0.1621,0.15,0.1494,0.0129
72,2024-07-28,ph,0.0347,0.0396,0.0406,0.024,0.0347,0.0093
72,2024-07-28,od,0.1044,0.1413,0.1474,0.1609,0.1499,0.01
72,2024-07-29,ph,0.0164,0.0204,0.0235,0.0102,0.018,0.007
72,2024-07-29,od,0.1003,0.0991,0.0816,0.0974,0.0927,0.0097
72,2024-09-15,ph,0.122,0.0504,0.0671,0.0657,0.061,0.0092
72,2024-09-15,od,0.644,0.2544,0.3067,0.2292,0.2635,0.0395
72,2024-09-16,ph,0.0465,0.0463,0.0593,0.0503,0.052,0.0066
72,2024-09-16,od,0.1636,0.3183,0.4171,0.3321,0.3558,0.0535
72,2024-09-17,ph,0.1377,0.0434,0.0399,0.0458,0.043,0.003
72,2024-09-17,od,0.8721,0.031,0.0671,0.0905,0.0629,0.03
72,2024-09-18,ph,0.0837,0.0647,0.0626,0.0615,0.063,0.0016
72,2024-09-18,od,0.1722,0.1718,0.0965,0.1344,0.1343,0.0377
72,2024-09-19,ph,0.0985,0.0469,0.0456,0.0458,0.0461,0.0007
72,2024-09-19,od,0.1917,0.1124,0.1696,0.1526,0.1449,0.0294
72,2024-09-20,ph,0.0521,0.0411,0.0298,0.0345,0.0352,0.0057
72,2024-09-20,od,0.1607,0.1009,0.057,0.0598,0.0726,0.0246
72,2024-09-21,ph,0.0703,0.0559,0.0549,0.0544,0.0551,0.0008
72,2024-09-21,od,0.2793,0.0305,0.0324,0.0445,0.0358,0.0076
72,2024-09-22,ph,0.1079,0.0499,0.0532,0.0514,0.0515,0.0017
72,2024-09-22,od,0.2658,0.1751,0.0288,0.0579,0.0873,0.0774
72,2024-09-23,ph,0.083,0.0685,0.0608,0.0578,0.0624,0.0055
72,2024-09-23,od,0.0512,0.0497,0.1228,0.0583,0.077,0.04
72,2024-09-24,ph,0.0628,0.0522,0.0419,0.0318,0.0419,0.0102
72,2024-09-24,od,0.0828,0.0817,0.0437,0.0697,0.065,0.0194
72,2024-11-20,ph,0.0186,0.0113,0.0152,0.0132,0.0133,0.0019
72,2024-11-20,od,0.1188,0.2229,0.0746,0.2055,0.1677,0.0811
72,2024-12-13,ph,0.0311,0.0134,0.01,0.0143,0.0126,0.0023
72,2024-12-13,od,0.1474,0.1036,0.2288,0.2286,0.187,0.0722
72,2024-12-14,ph,0.0412,0.0355,0.0485,0.0355,0.0398,0.0075
72,2024-12-14,od,0.2881,0.2769,0.2144,0.1497,0.2137,0.0636
72,2024-12-15,ph,0.0714,0.0114,0.008,0.0115,0.0103,0.002
72,2024-12-15,od,0.2217,0.1541,0.095,0.2004,0.1498,0.0528
72,2024-12-16,ph,0.025,0.0113,0.0127,0.0129,0.0123,0.0009
72,2024-12-16,od,0.1979,0.1082,0.1494,0.1545,0.1374,0.0254
72,2024-12-17,ph,0.0257,0.0169,0.0227,0.0235,0.021,0.0036
72,2024-12-17,od,0.1207,0.196,0.352,0.2672,0.2717,0.0781
72,2024-12-18,ph,0.0269,0.0119,0.0138,0.0116,0.0125,0.0012
72,2024-12-18,od,0.2354,0.1271,0.1856,0.0954,0.136,0.0457
72,2024-12-19,ph,0.0293,0.0215,0.0208,0.0193,0.0205,0.0011
72,2024-12-19,od,0.0593,0.0735,0.2138,0.1053,0.1308,0.0736
72,2024-12-20,ph,0.0367,0.033,0.0384,0.0325,0.0347,0.0033
72,2024-12-20,od,0.3225,0.2053,0.0967,0.1749,0.159,0.056
72,2024-12-21,ph,0.1517,0.0643,0.045,0.0519,0.0537,0.0098
72,2024-12-21,od,1.0404,0.2221,0.1708,0.2381,0.2103,0.0351
72,2024-12-22,ph,0.0411,0.032,0.0305,0.0346,0.0324,0.0021
72,2024-12-22,od,0.319,0.4069,0.4836,0.7013,0.5306,0.1527
288,2022-07-20,ph,0.0227,0.042,0.0295,0.0237,0.0317,0.0093
288,2022-07-20,od,0.0899,0.0605,0.1999,0.131,0.1305,0.0697
288,2022-07-21,ph,0.0231,0.0485,0.0374,0.0265,0.0374,0.011
288,2022-07-21,od,0.0594,0.1726,0.0754,0.075,0.1076,0.0562
288,2022-07-22,ph,0.0252,0.0345,0.0292,0.0258,0.0298,0.0044
288,2022-07-22,od,0.2433,0.2166,0.1128,0.1908,0.1734,0.054
288,2022-07-23,ph,0.0294,0.0265,0.0328,0.0439,0.0344,0.0088
288,2022-07-23,od,0.1477,0.0404,0.0489,0.1003,0.0632,0.0324
288,2022-07-24,ph,0.026,0.0259,0.0222,0.0218,0.0233,0.0023
288,2022-07-24,od,0.0566,0.0524,0.06,0.058,0.0568,0.004
288,2022-07-25,ph,0.029,0.0194,0.0256,0.0221,0.0224,0.0032
288,2022-07-25,od,0.0919,0.1138,0.0775,0.1507,0.114,0.0366
288,2022-07-26,ph,0.0246,0.02,0.0186,0.0206,0.0197,0.001
